Park,Date/Time,Wait Time
Disneyland,4/3/2024 12:50,40
Disneyland,4/3/2024 12:55,40
Disneyland,4/3/2024 13:00,40
Disneyland,4/3/2024 13:05,41
Disneyland,4/3/2024 13:10,39
Disneyland,4/3/2024 13:15,39
Disneyland,4/3/2024 13:20,38
Disneyland,4/3/2024 13:25,39
Disneyland,4/3/2024 13:30,38
Disneyland,4/3/2024 13:35,39
Disneyland,4/3/2024 13:40,38
Disneyland,4/3/2024 13:45,38
Disneyland,4/3/2024 13:50,38
Disneyland,4/3/2024 13:55,38
Disneyland,4/3/2024 14:00,40
Disneyland,4/3/2024 14:05,38
Disneyland,4/3/2024 14:10,37
Disneyland,4/3/2024 14:15,37
Disneyland,4/3/2024 14:20,37
Disneyland,4/3/2024 14:25,39
Disneyland,4/3/2024 14:30,36
Disneyland,4/3/2024 14:35,37
Disneyland,4/3/2024 14:40,37
Disneyland,4/3/2024 14:45,38
Disneyland,4/3/2024 14:50,39
Disneyland,4/3/2024 14:55,40
Disneyland,4/3/2024 15:00,39
Disneyland,4/3/2024 15:05,36
Disneyland,4/3/2024 15:10,35
Disneyland,4/3/2024 15:15,35
Disneyland,4/3/2024 15:20,35
Disneyland,4/3/2024 15:25,37
Disneyland,4/3/2024 15:30,36
Disneyland,4/3/2024 15:35,33
Disneyland,4/3/2024 15:40,34
Disneyland,4/3/2024 15:45,34
Disneyland,4/3/2024 15:50,35
Disneyland,4/3/2024 15:55,32
Disneyland,4/3/2024 16:00,35
Disneyland,4/3/2024 16:05,38
Disneyland,4/3/2024 16:10,38
Disneyland,4/3/2024 16:15,37
Disneyland,4/3/2024 16:20,38
Disneyland,4/3/2024 16:25,38
Disneyland,4/3/2024 16:30,37
Disneyland,4/3/2024 16:35,40
Disneyland,4/3/2024 16:40,42
Disneyland,4/3/2024 16:45,43
Disneyland,4/3/2024 16:50,40
Disneyland,4/3/2024 16:55,41
Disneyland,4/3/2024 17:00,40
Disneyland,4/3/2024 17:05,42
Disneyland,4/3/2024 17:10,43
Disneyland,4/3/2024 17:15,40
Disneyland,4/3/2024 17:20,40
Disneyland,4/3/2024 17:25,39
Disneyland,4/3/2024 17:30,38
Disneyland,4/3/2024 17:35,34
Disneyland,4/3/2024 17:40,33
Disneyland,4/3/2024 17:45,32
Disneyland,4/3/2024 17:50,33
Disneyland,4/3/2024 17:55,33
Disneyland,4/3/2024 18:00,34
Disneyland,4/3/2024 18:05,32
Disneyland,4/3/2024 18:10,34
Disneyland,4/3/2024 18:15,34
Disneyland,4/3/2024 18:20,35
Disneyland,4/3/2024 18:25,35
Disneyland,4/3/2024 18:30,35
Disneyland,4/3/2024 18:35,36
Disneyland,4/3/2024 18:40,36
Disneyland,4/3/2024 18:45,38
Disneyland,4/3/2024 18:50,36
Disneyland,4/3/2024 18:55,36
Disneyland,4/3/2024 19:00,37
Disneyland,4/3/2024 19:05,36
Disneyland,4/3/2024 19:10,35
Disneyland,4/3/2024 19:15,36
Disneyland,4/3/2024 19:20,34
Disneyland,4/3/2024 19:25,36
Disneyland,4/3/2024 19:30,36
Disneyland,4/3/2024 19:35,37
Disneyland,4/3/2024 19:40,37
Disneyland,4/3/2024 19:45,39
Disneyland,4/3/2024 19:50,41
Disneyland,4/3/2024 19:55,41
Disneyland,4/3/2024 20:00,40
Disneyland,4/3/2024 20:05,38
Disneyland,4/3/2024 20:10,37
Disneyland,4/3/2024 20:15,35
Disneyland,4/3/2024 20:20,36
Disneyland,4/3/2024 20:25,35
Disneyland,4/3/2024 20:30,35
Disneyland,4/3/2024 20:35,40
Disneyland,4/3/2024 20:40,37
Disneyland,4/3/2024 20:45,36
Disneyland,4/3/2024 20:50,30
Disneyland,4/3/2024 20:55,35
Disneyland,4/3/2024 21:00,36
Disneyland,4/3/2024 21:05,36
Disneyland,4/3/2024 21:10,31
Disneyland,4/3/2024 21:15,30
Disneyland,4/3/2024 21:20,28
Disneyland,4/3/2024 21:25,27
Disneyland,4/3/2024 21:30,25
Disneyland,4/3/2024 21:35,20
Disneyland,4/3/2024 21:40,20
Disneyland,4/3/2024 21:45,20
Disneyland,4/3/2024 21:50,23
Disneyland,4/3/2024 21:55,26
Disneyland,4/3/2024 22:00,26
Disneyland,4/3/2024 22:05,29
Disneyland,4/3/2024 22:10,28
Disneyland,4/3/2024 22:15,27
Disneyland,4/3/2024 22:20,25
Disneyland,4/3/2024 22:25,24
Disneyland,4/3/2024 22:30,23
Disneyland,4/3/2024 22:35,23
Disneyland,4/3/2024 22:40,23
Disneyland,4/3/2024 22:45,22
Disneyland,4/3/2024 22:50,22
Disneyland,4/3/2024 22:55,22
Disneyland,4/3/2024 23:00,20
Disneyland,4/3/2024 23:05,20
Disneyland,4/3/2024 23:10,19
Disneyland,4/3/2024 23:15,19
Disneyland,4/3/2024 23:20,18
Disneyland,4/3/2024 23:25,16
Disneyland,4/3/2024 23:30,16
Disneyland,4/3/2024 23:35,16
Disneyland,4/3/2024 23:40,15
Disneyland,4/3/2024 23:45,15
Disneyland,4/3/2024 23:50,15
Disneyland,4/4/2024 7:35,7
Disneyland,4/4/2024 7:40,7
Disneyland,4/4/2024 7:45,7
Disneyland,4/4/2024 7:50,8
Disneyland,4/4/2024 7:55,9
Disneyland,4/4/2024 8:00,9
Disneyland,4/4/2024 8:05,9
Disneyland,4/4/2024 8:10,13
Disneyland,4/4/2024 8:15,15
Disneyland,4/4/2024 8:20,20
Disneyland,4/4/2024 8:25,19
Disneyland,4/4/2024 8:30,19
Disneyland,4/4/2024 8:35,21
Disneyland,4/4/2024 8:40,22
Disneyland,4/4/2024 8:45,23
Disneyland,4/4/2024 8:50,25
Disneyland,4/4/2024 8:55,28
Disneyland,4/4/2024 9:00,27
Disneyland,4/4/2024 9:05,27
Disneyland,4/4/2024 9:10,28
Disneyland,4/4/2024 9:15,30
Disneyland,4/4/2024 9:20,30
Disneyland,4/4/2024 9:25,30
Disneyland,4/4/2024 9:30,29
Disneyland,4/4/2024 9:35,29
Disneyland,4/4/2024 9:40,30
Disneyland,4/4/2024 9:45,32
Disneyland,4/4/2024 9:50,33
Disneyland,4/4/2024 9:55,33
Disneyland,4/4/2024 10:00,34
Disneyland,4/4/2024 10:05,34
Disneyland,4/4/2024 10:10,33
Disneyland,4/4/2024 10:15,33
Disneyland,4/4/2024 10:20,35
Disneyland,4/4/2024 10:25,34
Disneyland,4/4/2024 10:30,37
Disneyland,4/4/2024 10:35,38
Disneyland,4/4/2024 10:40,38
Disneyland,4/4/2024 10:45,40
Disneyland,4/4/2024 10:50,43
Disneyland,4/4/2024 10:55,43
Disneyland,4/4/2024 11:00,43
Disneyland,4/4/2024 11:05,43
Disneyland,4/4/2024 11:10,42
Disneyland,4/4/2024 11:15,43
Disneyland,4/4/2024 11:20,43
Disneyland,4/4/2024 11:25,44
Disneyland,4/4/2024 11:30,43
Disneyland,4/4/2024 11:35,42
Disneyland,4/4/2024 11:40,40
Disneyland,4/4/2024 11:45,42
Disneyland,4/4/2024 11:50,40
Disneyland,4/4/2024 11:55,41
Disneyland,4/4/2024 12:00,42
Disneyland,4/4/2024 12:05,42
Disneyland,4/4/2024 12:10,42
Disneyland,4/4/2024 12:15,42
Disneyland,4/4/2024 12:20,42
Disneyland,4/4/2024 12:25,43
Disneyland,4/4/2024 12:30,44
Disneyland,4/4/2024 12:35,42
Disneyland,4/4/2024 12:40,41
Disneyland,4/4/2024 12:45,41
Disneyland,4/4/2024 12:50,41
Disneyland,4/4/2024 12:55,41
